clean,corrupted,clean_word,corrupted_word
The man beside the machines,The men beside the machine,"is, was, has, 's","are, were, have, 've"
The men beside the machine,The man beside the machines,"are, were, have, 've","is, was, has, 's"
The bird on the branches,The birds on the branch,"is, was, has, 's","are, were, have, 've"
The birds on the branch,The bird on the branches,"are, were, have, 've","is, was, has, 's"
The student in the classes,The students in the class,"is, was, has, 's","are, were, have, 've"
The students in the class,The student in the classes,"are, were, have, 've","is, was, has, 's"
The hat on the racks,The hats on the rack,"is, was, has, 's","are, were, have, 've"
The hats on the rack,The hat on the racks,"are, were, have, 've","is, was, has, 's"
The doctor in the clinics,The doctors in the clinic,"is, was, has, 's","are, were, have, 've"
The doctors in the clinic,The doctor in the clinics,"are, were, have, 've","is, was, has, 's"
The mouse in the traps,The mice in the trap,"is, was, has, 's","are, were, have, 've"
The mice in the trap,The mouse in the traps,"are, were, have, 've","is, was, has, 's"
The foot on the pedals,The feet on the pedal,"is, was, has, 's","are, were, have, 've"
The feet on the pedal,The foot on the pedals,"are, were, have, 've","is, was, has, 's"
The bag in the lockers,The bags in the locker,"is, was, has, 's","are, were, have, 've"
The bags in the locker,The bag in the lockers,"are, were, have, 've","is, was, has, 's"
The flower in the vases,The flowers in the vase,"is, was, has, 's","are, were, have, 've"
The flowers in the vase,The flower in the vases,"are, were, have, 've","is, was, has, 's"
The fish in the tanks,The fishes in the tank,"is, was, has, 's","are, were, have, 've"
The fishes in the tank,The fish in the tanks,"are, were, have, 've","is, was, has, 's"
The bulb in the lamps,The bulbs in the lamp,"is, was, has, 's","are, were, have, 've"
The bulbs in the lamp,The bulb in the lamps,"are, were, have, 've","is, was, has, 's"
The pen on the desks,The pens on the desk,"is, was, has, 's","are, were, have, 've"
The pens on the desk,The pen on the desks,"are, were, have, 've","is, was, has, 's"
The toy in the boxes,The toys in the box,"is, was, has, 's","are, were, have, 've"
The toys in the box,The toy in the boxes,"are, were, have, 've","is, was, has, 's"
The note in the books,The notes in the book,"is, was, has, 's","are, were, have, 've"
The notes in the book,The note in the books,"are, were, have, 've","is, was, has, 's"
The girl on the bikes,The girls on the bike,"is, was, has, 's","are, were, have, 've"
The girls on the bike,The girl on the bikes,"are, were, have, 've","is, was, has, 's"
The goose in the ponds,The geese in the pond,"is, was, has, 's","are, were, have, 've"
The geese in the pond,The goose in the ponds,"are, were, have, 've","is, was, has, 's"
The watch in the boxes,The watches in the box,"is, was, has, 's","are, were, have, 've"
The watches in the box,The watch in the boxes,"are, were, have, 've","is, was, has, 's"
The sheep in the fields,The sheep in the field,"is, was, has, 's","are, were, have, 've"
The sheep in the field,The sheep in the fields,"are, were, have, 've","is, was, has, 's"
The wolf in the forests,The wolves in the forest,"is, was, has, 's","are, were, have, 've"
The wolves in the forest,The wolf in the forests,"are, were, have, 've","is, was, has, 's"
The horse in the stables,The horses in the stable,"is, was, has, 's","are, were, have, 've"
The horses in the stable,The horse in the stables,"are, were, have, 've","is, was, has, 's"
The ship in the docks,The ships in the dock,"is, was, has, 's","are, were, have, 've"
The ships in the dock,The ship in the docks,"are, were, have, 've","is, was, has, 's"
The leaf in the piles,The leaves in the pile,"is, was, has, 's","are, were, have, 've"
The leaves in the pile,The leaf in the piles,"are, were, have, 've","is, was, has, 's"
The cloud in the skies,The clouds in the sky,"is, was, has, 's","are, were, have, 've"
The clouds in the sky,The cloud in the skies,"are, were, have, 've","is, was, has, 's"
The star in the galaxies,The stars in the galaxy,"is, was, has, 's","are, were, have, 've"
The stars in the galaxy,The star in the galaxies,"are, were, have, 've","is, was, has, 's"
The chair in the rooms,The chairs in the room,"is, was, has, 's","are, were, have, 've"
The chairs in the room,The chair in the rooms,"are, were, have, 've","is, was, has, 's"
The chef in the kitchens,The chefs in the kitchen,"is, was, has, 's","are, were, have, 've"
The chefs in the kitchen,The chef in the kitchens,"are, were, have, 've","is, was, has, 's"
The painter in the studios,The painters in the studio,"is, was, has, 's","are, were, have, 've"
The painters in the studio,The painter in the studios,"are, were, have, 've","is, was, has, 's"
The dancer on the stages,The dancers on the stage,"is, was, has, 's","are, were, have, 've"
The dancers on the stage,The dancer on the stages,"are, were, have, 've","is, was, has, 's"
The elephant in the zoos,The elephants in the zoo,"is, was, has, 's","are, were, have, 've"
The elephants in the zoo,The elephant in the zoos,"are, were, have, 've","is, was, has, 's"
The lion in the cages,The lions in the cage,"is, was, has, 's","are, were, have, 've"
The lions in the cage,The lion in the cages,"are, were, have, 've","is, was, has, 's"
The panda in the reserves,The pandas in the reserve,"is, was, has, 's","are, were, have, 've"
The pandas in the reserve,The panda in the reserves,"are, were, have, 've","is, was, has, 's"
The eagle in the sanctuaries,The eagles in the sanctuary,"is, was, has, 's","are, were, have, 've"
The eagles in the sanctuary,The eagle in the sanctuaries,"are, were, have, 've","is, was, has, 's"
The penguin on the icebergs,The penguins on the iceberg,"is, was, has, 's","are, were, have, 've"
The penguins on the iceberg,The penguin on the icebergs,"are, were, have, 've","is, was, has, 's"
The chef with the recipes,The chefs with the recipe,"is, was, has, 's","are, were, have, 've"
The chefs with the recipe,The chef with the recipes,"are, were, have, 've","is, was, has, 's"
The king in the realms,The kings in the realm,"is, was, has, 's","are, were, have, 've"
The kings in the realm,The king in the realms,"are, were, have, 've","is, was, has, 's"
The queen in the kingdoms,The queens in the kingdom,"is, was, has, 's","are, were, have, 've"
The queens in the kingdom,The queen in the kingdoms,"are, were, have, 've","is, was, has, 's"
The knight on the horses,The knights on the horse,"is, was, has, 's","are, were, have, 've"
The knights on the horse,The knight on the horses,"are, were, have, 've","is, was, has, 's"
The warrior in the battles,The warriors in the battle,"is, was, has, 's","are, were, have, 've"
The warriors in the battle,The warrior in the battles,"are, were, have, 've","is, was, has, 's"
The explorer in the jungles,The explorers in the jungle,"is, was, has, 's","are, were, have, 've"
The explorers in the jungle,The explorer in the jungles,"are, were, have, 've","is, was, has, 's"
The pirate on the seas,The pirates on the sea,"is, was, has, 's","are, were, have, 've"
The pirates on the sea,The pirate on the seas,"are, were, have, 've","is, was, has, 's"
The captain in the fleets,The captains in the fleet,"is, was, has, 's","are, were, have, 've"
The captains in the fleet,The captain in the fleets,"are, were, have, 've","is, was, has, 's"
The merchant in the markets,The merchants in the market,"is, was, has, 's","are, were, have, 've"
The merchants in the market,The merchant in the markets,"are, were, have, 've","is, was, has, 's"
The artist in the galleries,The artists in the gallery,"is, was, has, 's","are, were, have, 've"
The artists in the gallery,The artist in the galleries,"are, were, have, 've","is, was, has, 's"
The writer in the libraries,The writers in the library,"is, was, has, 's","are, were, have, 've"
The writers in the library,The writer in the libraries,"are, were, have, 've","is, was, has, 's"
The musician on the stages,The musicians on the stage,"is, was, has, 's","are, were, have, 've"
The musicians on the stage,The musician on the stages,"are, were, have, 've","is, was, has, 's"
The dancer in the halls,The dancers in the hall,"is, was, has, 's","are, were, have, 've"
The dancers in the hall,The dancer in the halls,"are, were, have, 've","is, was, has, 's"
The actor in the theaters,The actors in the theater,"is, was, has, 's","are, were, have, 've"
The actors in the theater,The actor in the theaters,"are, were, have, 've","is, was, has, 's"
The gardener in the parks,The gardeners in the park,"is, was, has, 's","are, were, have, 've"
The gardeners in the park,The gardener in the parks,"are, were, have, 've","is, was, has, 's"
The scientist in the labs,The scientists in the lab,"is, was, has, 's","are, were, have, 've"
The scientists in the lab,The scientist in the labs,"are, were, have, 've","is, was, has, 's"
The astronaut in the spaces,The astronauts in the space,"is, was, has, 's","are, were, have, 've"
The astronauts in the space,The astronaut in the spaces,"are, were, have, 've","is, was, has, 's"
The teacher in the schools,The teachers in the school,"is, was, has, 's","are, were, have, 've"
The teachers in the school,The teacher in the schools,"are, were, have, 've","is, was, has, 's"
The lawyer in the courts,The lawyers in the court,"is, was, has, 's","are, were, have, 've"
The lawyers in the court,The lawyer in the courts,"are, were, have, 've","is, was, has, 's"
The journalist in the offices,The journalists in the office,"is, was, has, 's","are, were, have, 've"
The journalists in the office,The journalist in the offices,"are, were, have, 've","is, was, has, 's"
The photographer in the studios,The photographers in the studio,"is, was, has, 's","are, were, have, 've"
The photographers in the studio,The photographer in the studios,"are, were, have, 've","is, was, has, 's"
The chef in the restaurants,The chefs in the restaurant,"is, was, has, 's","are, were, have, 've"
The chefs in the restaurant,The chef in the restaurants,"are, were, have, 've","is, was, has, 's"
The detective in the mysteries,The detectives in the mystery,"is, was, has, 's","are, were, have, 've"
The detectives in the mystery,The detective in the mysteries,"are, were, have, 've","is, was, has, 's"
The pilot in the planes,The pilots in the plane,"is, was, has, 's","are, were, have, 've"
The pilots in the plane,The pilot in the planes,"are, were, have, 've","is, was, has, 's"
The soldier in the camps,The soldiers in the camp,"is, was, has, 's","are, were, have, 've"
The soldiers in the camp,The soldier in the camps,"are, were, have, 've","is, was, has, 's"
The priest in the churches,The priests in the church,"is, was, has, 's","are, were, have, 've"
The priests in the church,The priest in the churches,"are, were, have, 've","is, was, has, 's"
The athlete on the tracks,The athletes on the track,"is, was, has, 's","are, were, have, 've"
The athletes on the track,The athlete on the tracks,"are, were, have, 've","is, was, has, 's"
The swimmer in the pools,The swimmers in the pool,"is, was, has, 's","are, were, have, 've"
The swimmers in the pool,The swimmer in the pools,"are, were, have, 've","is, was, has, 's"
The runner on the paths,The runners on the path,"is, was, has, 's","are, were, have, 've"
The runners on the path,The runner on the paths,"are, were, have, 've","is, was, has, 's"
The boxer in the rings,The boxers in the ring,"is, was, has, 's","are, were, have, 've"
The boxers in the ring,The boxer in the rings,"are, were, have, 've","is, was, has, 's"
The climber on the mountains,The climbers on the mountain,"is, was, has, 's","are, were, have, 've"
The climbers on the mountain,The climber on the mountains,"are, were, have, 've","is, was, has, 's"
The hiker on the trails,The hikers on the trail,"is, was, has, 's","are, were, have, 've"
The hikers on the trail,The hiker on the trails,"are, were, have, 've","is, was, has, 's"
The skier on the slopes,The skiers on the slope,"is, was, has, 's","are, were, have, 've"
The skiers on the slope,The skier on the slopes,"are, were, have, 've","is, was, has, 's"
The surfer on the waves,The surfers on the wave,"is, was, has, 's","are, were, have, 've"
The surfers on the wave,The surfer on the waves,"are, were, have, 've","is, was, has, 's"
The diver in the seas,The divers in the sea,"is, was, has, 's","are, were, have, 've"
The divers in the sea,The diver in the seas,"are, were, have, 've","is, was, has, 's"
The sailor on the ships,The sailors on the ship,"is, was, has, 's","are, were, have, 've"
The sailors on the ship,The sailor on the ships,"are, were, have, 've","is, was, has, 's"
The archer in the forests,The archers in the forest,"is, was, has, 's","are, were, have, 've"
The archers in the forest,The archer in the forests,"are, were, have, 've","is, was, has, 's"
The knight in the castles,The knights in the castle,"is, was, has, 's","are, were, have, 've"
The knights in the castle,The knight in the castles,"are, were, have, 've","is, was, has, 's"
The bard in the taverns,The bards in the tavern,"is, was, has, 's","are, were, have, 've"
The bards in the tavern,The bard in the taverns,"are, were, have, 've","is, was, has, 's"
The mage in the towers,The mages in the tower,"is, was, has, 's","are, were, have, 've"
The mages in the tower,The mage in the towers,"are, were, have, 've","is, was, has, 's"
The rogue in the alleys,The rogues in the alley,"is, was, has, 's","are, were, have, 've"
The rogues in the alley,The rogue in the alleys,"are, were, have, 've","is, was, has, 's"
The dragon in the lairs,The dragons in the lair,"is, was, has, 's","are, were, have, 've"
The dragons in the lair,The dragon in the lairs,"are, were, have, 've","is, was, has, 's"
The unicorn in the meadows,The unicorns in the meadow,"is, was, has, 's","are, were, have, 've"
The unicorns in the meadow,The unicorn in the meadows,"are, were, have, 've","is, was, has, 's"
The phoenix in the skies,The phoenixes in the sky,"is, was, has, 's","are, were, have, 've"
The phoenixes in the sky,The phoenix in the skies,"are, were, have, 've","is, was, has, 's"
The fairy in the gardens,The fairies in the garden,"is, was, has, 's","are, were, have, 've"
The fairies in the garden,The fairy in the gardens,"are, were, have, 've","is, was, has, 's"
The dwarf in the mines,The dwarves in the mine,"is, was, has, 's","are, were, have, 've"
The dwarves in the mine,The dwarf in the mines,"are, were, have, 've","is, was, has, 's"
The giant in the valleys,The giants in the valley,"is, was, has, 's","are, were, have, 've"
The giants in the valley,The giant in the valleys,"are, were, have, 've","is, was, has, 's"
The elf in the forests,The elves in the forest,"is, was, has, 's","are, were, have, 've"
The elves in the forest,The elf in the forests,"are, were, have, 've","is, was, has, 's"
The book on the shelves,The books on the shelf,"is, was, has","are, were, have"
The books on the shelf,The book on the shelves,"are, were, have","is, was, has"
The dog near the cats,The dogs near the cat,"runs, barks","run, bark"
The dogs near the cat,The dog near the cats,"run, bark","runs, barks"
The child with the toys,The children with the toy,"plays, is","play, are"
The children with the toy,The child with the toys,"play, are","plays, is"
The lady in the cars,The ladies in the car,"sits, waits","sit, wait"
The ladies in the car,The lady in the cars,"sit, wait","sits, waits"
The apple in the baskets,The apples in the basket,"is, seems","are, seem"
The apples in the basket,The apple in the baskets,"are, seem","is, seems"
The cat with the dogs,The cats with the dog,"sleeps, sits","sleep, sit"
The cats with the dog,The cat with the dogs,"sleep, sit","sleeps, sits"
The picture on the walls,The pictures on the wall,"is, was","are, were"
The pictures on the wall,The picture on the walls,"are, were","is, was"
The teacher for the students,The teachers for the student,"is, teaches","are, teach"
The teachers for the student,The teacher for the students,"are, teach","is, teaches"
The car in the garages,The cars in the garage,"is, seems","are, seem"
The cars in the garage,The car in the garages,"are, seem","is, seems"
The bird among the trees,The birds among the tree,"flies, chirps","fly, chirp"
The birds among the tree,The bird among the trees,"fly, chirp","flies, chirps"
The student with the books,The students with the book,"reads, studies","read, study"
The students with the book,The student with the books,"read, study","reads, studies"
The photograph on the tables,The photographs on the table,"shows, captures","show, capture"
The photographs on the table,The photograph on the tables,"show, capture","shows, captures"
The river between the mountains,The rivers between the mountain,"flows, is","flow, are"
The rivers between the mountain,The river between the mountains,"flow, are","flows, is"
The plant in the pots,The plants in the pot,"grows, is","grow, are"
The plants in the pot,The plant in the pots,"grow, are","grows, is"
The chair near the windows,The chairs near the window,"stands, is","stand, are"
The chairs near the window,The chair near the windows,"stand, are","stands, is"
The phone beside the laptops,The phones beside the laptop,"rings, vibrates","ring, vibrate"
The phones beside the laptop,The phone beside the laptops,"ring, vibrate","rings, vibrates"
The man with the hats,The men with the hat,"walks, is","walk, are"
The men with the hat,The man with the hats,"walk, are","walks, is"
The computer on the desks,The computers on the desk,"is, runs","are, run"
The computers on the desk,The computer on the desks,"are, run","is, runs"
The cat beside the dogs,The cats beside the dog,"sleeps, watches","sleep, watch"
The cats beside the dog,The cat beside the dogs,"sleep, watch","sleeps, watches"
The bear near the rivers,The bears near the river,"is, roams","are, roam"
The bears near the river,The bear near the rivers,"are, roam","is, roams"
The boat among the ships,The boats among the ship,"floats, is","float, are"
The boats among the ship,The boat among the ships,"float, are","floats, is"
The tree under the stars,The trees under the star,"shines, is","shine, are"
The trees under the star,The tree under the stars,"shine, are","shines, is"
